Franchise,AAA,AA,Adv A,A,Short-Season A,Rookie,Rookie 2
Anaheim Angels (7 teams),https://www.baseball-reference.com/register/team.cgi?id=2f3ed0c1,https://www.baseball-reference.com/register/team.cgi?id=c3a6adb0,https://www.baseball-reference.com/register/team.cgi?id=83babbe7,https://www.baseball-reference.com/register/team.cgi?id=99f366b9,https://www.baseball-reference.com/register/team.cgi?id=3f938703,https://www.baseball-reference.com/register/team.cgi?id=5224dee7,
Arizona Diamondbacks (8 teams),https://www.baseball-reference.com/register/team.cgi?id=e623fe21,https://www.baseball-reference.com/register/team.cgi?id=62407a9c,https://www.baseball-reference.com/register/team.cgi?id=ca379232,https://www.baseball-reference.com/register/team.cgi?id=75b47c2a,,https://www.baseball-reference.com/register/team.cgi?id=2cda3b1b,https://www.baseball-reference.com/register/team.cgi?id=b48f5e57
Atlanta Braves (8 teams),https://www.baseball-reference.com/register/team.cgi?id=a84d1569,https://www.baseball-reference.com/register/team.cgi?id=8453b7de,https://www.baseball-reference.com/register/team.cgi?id=28a3c7ce,https://www.baseball-reference.com/register/team.cgi?id=b6dcbd6e,https://www.baseball-reference.com/register/team.cgi?id=8e0111d0,https://www.baseball-reference.com/register/team.cgi?id=259d8687,https://www.baseball-reference.com/register/team.cgi?id=851704b6
Baltimore Orioles (7 teams),https://www.baseball-reference.com/register/team.cgi?id=b746a09e,https://www.baseball-reference.com/register/team.cgi?id=2fbac317,https://www.baseball-reference.com/register/team.cgi?id=8e9ec74f,https://www.baseball-reference.com/register/team.cgi?id=04b74532,,https://www.baseball-reference.com/register/team.cgi?id=57805e10,https://www.baseball-reference.com/register/team.cgi?id=6dbc22cf
Boston Red Sox (8 teams),https://www.baseball-reference.com/register/team.cgi?id=bb3e38e4,https://www.baseball-reference.com/register/team.cgi?id=8644ef3a,https://www.baseball-reference.com/register/team.cgi?id=5b5b712c,https://www.baseball-reference.com/register/team.cgi?id=27eb91fe,https://www.baseball-reference.com/register/team.cgi?id=f2691590,https://www.baseball-reference.com/register/team.cgi?id=5a9c869b,
Chicago Cubs (7 teams),https://www.baseball-reference.com/register/team.cgi?id=d15d535a,https://www.baseball-reference.com/register/team.cgi?id=29f6f14a,https://www.baseball-reference.com/register/team.cgi?id=452da1b1,https://www.baseball-reference.com/register/team.cgi?id=b49c816d,https://www.baseball-reference.com/register/team.cgi?id=8396babc,https://www.baseball-reference.com/register/team.cgi?id=a52d86bd,
Chicago White Sox (7 teams),https://www.baseball-reference.com/register/team.cgi?id=a1322c8e,https://www.baseball-reference.com/register/team.cgi?id=dd31231f,https://www.baseball-reference.com/register/team.cgi?id=8b540909,https://www.baseball-reference.com/register/team.cgi?id=223ef949,,https://www.baseball-reference.com/register/team.cgi?id=8d7a7869,https://www.baseball-reference.com/register/team.cgi?id=8106e0b6
Cincinnati Reds (7 teams),https://www.baseball-reference.com/register/team.cgi?id=b23f43a9,https://www.baseball-reference.com/register/team.cgi?id=39cde0ae,,https://www.baseball-reference.com/register/team.cgi?id=ea9c3619,https://www.baseball-reference.com/register/team.cgi?id=ae67ff4a,https://www.baseball-reference.com/register/team.cgi?id=19eb1cbd,https://www.baseball-reference.com/register/team.cgi?id=51f84881
Cleveland Indians (8 teams),https://www.baseball-reference.com/register/team.cgi?id=4b61454f,https://www.baseball-reference.com/register/team.cgi?id=fb745e2d,https://www.baseball-reference.com/register/team.cgi?id=08d93a07,https://www.baseball-reference.com/register/team.cgi?id=340bf8f1,https://www.baseball-reference.com/register/team.cgi?id=f892d9ba,https://www.baseball-reference.com/register/team.cgi?id=ffc2da98,
Colorado Rockies (7 teams),https://www.baseball-reference.com/register/team.cgi?id=3c52a947,https://www.baseball-reference.com/register/team.cgi?id=6038416b,https://www.baseball-reference.com/register/team.cgi?id=f5a84c24,https://www.baseball-reference.com/register/team.cgi?id=9d9918f5,https://www.baseball-reference.com/register/team.cgi?id=21ba8df8,https://www.baseball-reference.com/register/team.cgi?id=e8226e28,
Detroit Tigers (7 teams),https://www.baseball-reference.com/register/team.cgi?id=a7ceb984,https://www.baseball-reference.com/register/team.cgi?id=282bc557,https://www.baseball-reference.com/register/team.cgi?id=ed031b9d,https://www.baseball-reference.com/register/team.cgi?id=faa88aae,https://www.baseball-reference.com/register/team.cgi?id=e52d0c27,https://www.baseball-reference.com/register/team.cgi?id=c058db33,
Florida Marlins (7 teams),https://www.baseball-reference.com/register/team.cgi?id=29438031,https://www.baseball-reference.com/register/team.cgi?id=2b45cadb,https://www.baseball-reference.com/register/team.cgi?id=2ae9e4ac,https://www.baseball-reference.com/register/team.cgi?id=7c25adf7,https://www.baseball-reference.com/register/team.cgi?id=74ad2c91,https://www.baseball-reference.com/register/team.cgi?id=ddea2d6a,
Houston Astros (7 teams),https://www.baseball-reference.com/register/team.cgi?id=8de0159c,https://www.baseball-reference.com/register/team.cgi?id=780bdcd6,https://www.baseball-reference.com/register/team.cgi?id=cdd97958,https://www.baseball-reference.com/register/team.cgi?id=cbf3194f,https://www.baseball-reference.com/register/team.cgi?id=1f187987,https://www.baseball-reference.com/register/team.cgi?id=d65f6afd,
Kansas City Royals (7 teams),https://www.baseball-reference.com/register/team.cgi?id=a2da416e,https://www.baseball-reference.com/register/team.cgi?id=d5c72171,https://www.baseball-reference.com/register/team.cgi?id=531ef499,https://www.baseball-reference.com/register/team.cgi?id=029d8597,https://www.baseball-reference.com/register/team.cgi?id=7d9f72d1,https://www.baseball-reference.com/register/team.cgi?id=2849ae93,
Los Angeles Dodgers (7 teams),https://www.baseball-reference.com/register/team.cgi?id=32262c9d,https://www.baseball-reference.com/register/team.cgi?id=a86b7c5a,https://www.baseball-reference.com/register/team.cgi?id=2ae9e4ac,https://www.baseball-reference.com/register/team.cgi?id=f1c06d0d,https://www.baseball-reference.com/register/team.cgi?id=e264bb9f,https://www.baseball-reference.com/register/team.cgi?id=300c4a4c,
Milwaukee Brewers (7 teams),https://www.baseball-reference.com/register/team.cgi?id=18348d1a,https://www.baseball-reference.com/register/team.cgi?id=c61ae28b,https://www.baseball-reference.com/register/team.cgi?id=10f435d0,https://www.baseball-reference.com/register/team.cgi?id=80171a4a,,https://www.baseball-reference.com/register/team.cgi?id=082fb78d,https://www.baseball-reference.com/register/team.cgi?id=341140f7
Minnesota Twins (7 teams),https://www.baseball-reference.com/register/team.cgi?id=7050d7f2,https://www.baseball-reference.com/register/team.cgi?id=cdb066f3,https://www.baseball-reference.com/register/team.cgi?id=b66da28c,https://www.baseball-reference.com/register/team.cgi?id=73586ab3,,https://www.baseball-reference.com/register/team.cgi?id=3f045b77,https://www.baseball-reference.com/register/team.cgi?id=313c6548
Montreal Expos (7 teams),https://www.baseball-reference.com/register/team.cgi?id=c7214a3c,https://www.baseball-reference.com/register/team.cgi?id=ffca3009,https://www.baseball-reference.com/register/team.cgi?id=606347d1,https://www.baseball-reference.com/register/team.cgi?id=6ab25f81,https://www.baseball-reference.com/register/team.cgi?id=e5cdda5e,https://www.baseball-reference.com/register/team.cgi?id=a9d3b2ea,
New York Mets (8 teams),https://www.baseball-reference.com/register/team.cgi?id=8cdff801,https://www.baseball-reference.com/register/team.cgi?id=7faf0a84,https://www.baseball-reference.com/register/team.cgi?id=017eb1f7,https://www.baseball-reference.com/register/team.cgi?id=db9b640c,https://www.baseball-reference.com/register/team.cgi?id=e3f928b3,https://www.baseball-reference.com/register/team.cgi?id=9719a92f,
New York Yankees (7 teams),https://www.baseball-reference.com/register/team.cgi?id=24e84455,https://www.baseball-reference.com/register/team.cgi?id=7bfa35e5,https://www.baseball-reference.com/register/team.cgi?id=2d4961ac,https://www.baseball-reference.com/register/team.cgi?id=b4c04734,https://www.baseball-reference.com/register/team.cgi?id=886c15fc,https://www.baseball-reference.com/register/team.cgi?id=cea531f0,
Oakland Athletics (8 teams),https://www.baseball-reference.com/register/team.cgi?id=24e84455,https://www.baseball-reference.com/register/team.cgi?id=0acae890,https://www.baseball-reference.com/register/team.cgi?id=e2093d85,https://www.baseball-reference.com/register/team.cgi?id=10a53a14,https://www.baseball-reference.com/register/team.cgi?id=3896d3f0,https://www.baseball-reference.com/register/team.cgi?id=dec7b240,
Philadelphia Phillies (7 teams),https://www.baseball-reference.com/register/team.cgi?id=e0789157,https://www.baseball-reference.com/register/team.cgi?id=03d4d0d5,https://www.baseball-reference.com/register/team.cgi?id=59289ef3,https://www.baseball-reference.com/register/team.cgi?id=df2afdb7,https://www.baseball-reference.com/register/team.cgi?id=068b9f77,https://www.baseball-reference.com/register/team.cgi?id=3f444196,
Pittsburgh Pirates (7 teams),https://www.baseball-reference.com/register/team.cgi?id=22941e09,https://www.baseball-reference.com/register/team.cgi?id=82281a69,https://www.baseball-reference.com/register/team.cgi?id=1cd9504f,https://www.baseball-reference.com/register/team.cgi?id=002792f1,https://www.baseball-reference.com/register/team.cgi?id=b9a0d887,https://www.baseball-reference.com/register/team.cgi?id=42c81cf4,
San Diego Padres (7 teams),https://www.baseball-reference.com/register/team.cgi?id=57c69a28,https://www.baseball-reference.com/register/team.cgi?id=f217964e,https://www.baseball-reference.com/register/team.cgi?id=a2068aaa,https://www.baseball-reference.com/register/team.cgi?id=52da86b8,,https://www.baseball-reference.com/register/team.cgi?id=30870dfb,https://www.baseball-reference.com/register/team.cgi?id=80e07a5d
San Francisco Giants (7 teams),https://www.baseball-reference.com/register/team.cgi?id=157a640d,https://www.baseball-reference.com/register/team.cgi?id=5ff52776,https://www.baseball-reference.com/register/team.cgi?id=30b3a8fc,https://www.baseball-reference.com/register/team.cgi?id=b9759872,https://www.baseball-reference.com/register/team.cgi?id=d77b3366,https://www.baseball-reference.com/register/team.cgi?id=53743abf,
